shipmentID,pickupDate,originCity,originStateProvince,originPostalCode,originCountry,destinationCity,destinationStateProvince,destinationPostalCode,destinationCountry,accessorialCodes,classification1,weight1,description1,packagingType1,pieces1,length1,width1,height1,classification2,weight2,description2,packagingType2,pieces2,length2,width2,height2,classification3,weight3,description3,packagingType3,pieces3,length3,width3,height3,classification4,weight4,description4,packagingType4,pieces4,length4,width4,height4,classification5,weight5,description5,packagingType5,pieces5,length5,width5,height5,classification6,weight6,description6,packagingType6,pieces6,length6,width6,height6,classification7,weight7,description7,packagingType7,pieces7,length7,width7,height7,classification8,weight8,description8,packagingType8,pieces8,length8,width8,height8
1,20260512,,,35020,USA,,,35660,USA,,125,977,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
2,20260512,,,35601,USA,,,85747,USA,,60,8994.111111,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
3,20260512,,,35758,USA,,,85747,USA,,70,313.6666667,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
4,20260512,,,35811,USA,,,85747,USA,,85,761.5,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
5,20260512,,,35824,USA,,,85747,USA,,70,6990,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
6,20260512,,,35824,USA,,,85747,USA,,77,3722,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
7,20260512,,,35601,USA,,,94538,USA,,50,400,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
8,20260512,,,35601,USA,,,94538,USA,,60,336,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
9,20260512,,,35601,USA,,,94538,USA,,77,490,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
10,20260512,,,35758,USA,,,92154,USA,,60,108,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
11,20260512,,,35758,USA,,,92154,USA,,70,259,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
12,20260512,,,35007,USA,,,27526,USA,,77,355,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
13,20260512,,,35661,USA,,,27526,USA,,85,4252.5,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
14,20260512,,,35811,USA,,,27409,USA,,85,800,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
15,20260512,,,35824,USA,,,27101,USA,,85,500,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
16,20260512,,,35824,USA,,,28704,USA,,70,6240,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
17,20260512,,,35824,USA,,,28704,USA,,77,4500,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
18,20260512,,,35601,USA,,,97070,USA,,50,156,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
19,20260512,,,35601,USA,,,97070,USA,,60,2911.105263,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
20,20260512,,,35601,USA,,,97070,USA,,77,1046,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
21,20260512,,,35601,USA,,,97070,USA,,250,101,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
22,20260512,,,35022,USA,,,79936,USA,,70,738.9354839,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
23,20260512,,,35022,USA,,,79936,USA,,77,828.25,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
24,20260512,,,35022,USA,,,79936,USA,,100,335,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
25,20260512,,,35022,USA,,,79936,USA,,125,276,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
26,20260512,,,35022,USA,,,79936,USA,,175,189.5,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
27,20260512,,,35811,USA,,,79936,USA,,77,150,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
28,20260512,,,36105,USA,,,79936,USA,,70,1154,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
29,20260512,,,71635,USA,,,85128,USA,,125,308,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
30,20260512,,,72002,USA,,,85747,USA,,55,265,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
31,20260512,,,72204,USA,,,85747,USA,,60,1015,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
32,20260512,,,72442,USA,,,85747,USA,,85,2940,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
33,20260512,,,71635,USA,,,62628,USA,,77,257,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
34,20260512,,,72015,USA,,,01757,USA,,250,167,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
35,20260512,,,71635,USA,,,39046,USA,,77,166,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
36,20260512,,,72015,USA,,,27526,USA,,50,116,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
37,20260512,,,72015,USA,,,27526,USA,,70,400,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
38,20260512,,,72015,USA,,,27526,USA,,77,391,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
39,20260512,,,72015,USA,,,27526,USA,,175,312.5,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
40,20260512,,,72015,USA,,,27526,USA,,300,380,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
41,20260512,,,72015,USA,,,27526,USA,,500,240,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
